Name,Type,Species,Height,Weight (KG),Abilities,Base Exp.,Growth Rate,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
Bulbasaur,Grass Poison,Seed Pokémon,0.7,6.9,1. OvergrowChlorophyll (hidden ability),64,Medium Slow,45,49,49,65,65,45,273
Ivysaur,Grass Poison,Seed Pokémon,1,13,1. OvergrowChlorophyll (hidden ability),142,Medium Slow,60,62,63,80,80,60,345
Venusaur,Grass Poison,Seed Pokémon,2.4,155.5,Thick Fat,281,Medium Slow,80,100,123,122,120,80,545
Charmander,Fire,Lizard Pokémon,0.6,8.5,1. BlazeSolar Power (hidden ability),62,Medium Slow,39,52,43,60,50,65,270
Charmeleon,Fire,Flame Pokémon,1.1,19,1. BlazeSolar Power (hidden ability),142,Medium Slow,58,64,58,80,65,80,347
Charizard,Fire Flying,Flame Pokémon,1.7,100.5,Drought,285,Medium Slow,78,104,78,159,115,100,556
Squirtle,Water,Tiny Turtle Pokémon,0.5,9,1. TorrentRain Dish (hidden ability),63,Medium Slow,44,48,65,50,64,43,270
Wartortle,Water,Turtle Pokémon,1,22.5,1. TorrentRain Dish (hidden ability),142,Medium Slow,59,63,80,65,80,58,346
Blastoise,Water,Shellfish Pokémon,1.6,101.1,Mega Launcher,284,Medium Slow,79,103,120,135,115,78,551
Caterpie,Bug,Worm Pokémon,0.3,2.9,1. Shield DustRun Away (hidden ability),39,Medium Fast,45,30,35,20,20,45,150
Metapod,Bug,Cocoon Pokémon,0.7,9.9,1. Shed Skin,72,Medium Fast,50,20,55,25,25,30,155
Butterfree,Bug Flying,Butterfly Pokémon,1.1,32,1. Compound EyesTinted Lens (hidden ability),178,Medium Fast,60,45,50,90,80,70,335
Weedle,Bug Poison,Hairy Bug Pokémon,0.3,3.2,1. Shield DustRun Away (hidden ability),39,Medium Fast,40,35,30,20,20,50,155
Kakuna,Bug Poison,Cocoon Pokémon,0.6,10,1. Shed Skin,72,Medium Fast,45,25,50,25,25,35,160
Beedrill,Bug Poison,Poison Bee Pokémon,1.4,40.5,Adaptability,223,Medium Fast,65,150,40,15,80,145,430
Pidgey,Normal Flying,Tiny Bird Pokémon,0.3,1.8,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),50,Medium Slow,40,45,40,35,35,56,211
Pidgeotto,Normal Flying,Bird Pokémon,1.1,30,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),122,Medium Slow,63,60,55,50,50,71,286
Pidgeot,Normal Flying,Bird Pokémon,2.2,50.5,No Guard,261,Medium Slow,83,80,80,135,80,121,496
Rattata,Dark Normal,Mouse Pokémon,0.3,3.8,Gluttony Hustle Thick Fat,51,Medium Fast,30,56,35,25,35,72,223
Raticate,Dark Normal,Mouse Pokémon,0.7,25.5,Gluttony Hustle Thick Fat,145,Medium Fast,75,71,70,40,80,77,338
Spearow,Normal Flying,Tiny Bird Pokémon,0.3,2,1. Keen EyeSniper (hidden ability),52,Medium Fast,40,60,30,31,31,70,222
Fearow,Normal Flying,Beak Pokémon,1.2,38,1. Keen EyeSniper (hidden ability),155,Medium Fast,65,90,65,61,61,100,377
Ekans,Poison,Snake Pokémon,2,6.9,1. Intimidate2. Shed SkinUnnerve (hidden ability),58,Medium Fast,35,60,44,40,54,55,253
Arbok,Poison,Cobra Pokémon,3.5,65,1. Intimidate2. Shed SkinUnnerve (hidden ability),157,Medium Fast,60,95,69,65,79,80,388
Pikachu,Electric,Mouse Pokémon,0.4,6,Static,112,Medium Fast,45,80,50,75,60,120,385
Raichu,Electric Psychic,Mouse Pokémon,0.7,21,Surge Surfer,243,Medium Fast,60,85,50,95,85,110,425
Sandshrew,Ice Steel,Mouse Pokémon,0.7,40,Snow Cloak Slush Rush,60,Medium Fast,50,75,90,10,35,40,250
Sandslash,Ice Steel,Mouse Pokémon,1.2,55,Snow Cloak Slush Rush,158,Medium Fast,75,100,120,25,65,65,375
Clefairy,Fairy,Fairy Pokémon,0.6,7.5,1. Cute Charm2. Magic GuardFriend Guard (hidden ability),113,Fast,70,45,48,60,65,35,253
Clefable,Fairy,Fairy Pokémon,1.3,40,1. Cute Charm2. Magic GuardUnaware (hidden ability),217,Fast,95,70,73,95,90,60,388
Vulpix,Ice,Fox Pokémon,0.6,9.9,Snow Cloak Snow Warning,60,Medium Fast,38,41,40,50,65,65,261
Ninetales,Ice Fairy,Fox Pokémon,1.1,19.9,Snow Cloak Snow Warning,177,Medium Fast,73,67,75,81,100,109,432
Jigglypuff,Normal Fairy,Balloon Pokémon,0.5,5.5,1. Cute Charm2. CompetitiveFriend Guard (hidden ability),95,Fast,115,45,20,45,25,20,155
Wigglytuff,Normal Fairy,Balloon Pokémon,1,12,1. Cute Charm2. CompetitiveFrisk (hidden ability),218,Fast,140,70,45,85,50,45,295
Zubat,Poison Flying,Bat Pokémon,0.8,7.5,1. Inner FocusInfiltrator (hidden ability),49,Medium Fast,40,45,35,30,40,55,205
Golbat,Poison Flying,Bat Pokémon,1.6,55,1. Inner FocusInfiltrator (hidden ability),159,Medium Fast,75,80,70,65,75,90,380
Oddish,Grass Poison,Weed Pokémon,0.5,5.4,1. ChlorophyllRun Away (hidden ability),64,Medium Slow,45,50,55,75,65,30,275
Gloom,Grass Poison,Weed Pokémon,0.8,8.6,1. ChlorophyllStench (hidden ability),138,Medium Slow,60,65,70,85,75,40,335
Vileplume,Grass Poison,Flower Pokémon,1.2,18.6,1. ChlorophyllEffect Spore (hidden ability),221,Medium Slow,75,80,85,110,90,50,415
Paras,Bug Grass,Mushroom Pokémon,0.3,5.4,1. Effect Spore2. Dry SkinDamp (hidden ability),57,Medium Fast,35,70,55,45,55,25,250
Parasect,Bug Grass,Mushroom Pokémon,1,29.5,1. Effect Spore2. Dry SkinDamp (hidden ability),142,Medium Fast,60,95,80,60,80,30,345
Venonat,Bug Poison,Insect Pokémon,1,30,1. Compound Eyes2. Tinted LensRun Away (hidden ability),61,Medium Fast,60,55,50,40,55,45,245
Venomoth,Bug Poison,Poison Moth Pokémon,1.5,12.5,1. Shield Dust2. Tinted LensWonder Skin (hidden ability),158,Medium Fast,70,65,60,90,75,90,380
Diglett,Ground Steel,Mole Pokémon,0.2,1,Sand Veil Tangling Hair Sand Force,53,Medium Fast,10,55,30,35,45,90,255
Dugtrio,Ground Steel,Mole Pokémon,0.7,66.6,Sand Veil Tangling Hair Sand Force,149,Medium Fast,35,100,60,50,70,110,390
Meowth,Steel,Scratch Cat Pokémon,0.4,7.5,Pickup Tough Claws Unnerve,58,Medium Fast,50,65,55,40,40,40,240
Persian,Dark,Classy Cat Pokémon,1.1,33,Fur Coat Technician Rattled,154,Medium Fast,65,60,60,75,65,115,375
Psyduck,Water,Duck Pokémon,0.8,19.6,1. Damp2. Cloud NineSwift Swim (hidden ability),64,Medium Fast,50,52,48,65,50,55,270
Golduck,Water,Duck Pokémon,1.7,76.6,1. Damp2. Cloud NineSwift Swim (hidden ability),175,Medium Fast,80,82,78,95,80,85,420
Mankey,Fighting,Pig Monkey Pokémon,0.5,28,1. Vital Spirit2. Anger PointDefiant (hidden ability),61,Medium Fast,40,80,35,35,45,70,265
Primeape,Fighting,Pig Monkey Pokémon,1,32,1. Vital Spirit2. Anger PointDefiant (hidden ability),159,Medium Fast,65,105,60,60,70,95,390
Growlithe,Fire Rock,Scout Pokémon,0.8,22.7,Intimidate Flash Fire Rock Head,70,Slow,60,75,45,65,50,55,290
Arcanine,Fire Rock,Legendary Pokémon,2,168,Intimidate Flash Fire Rock Head,194,Slow,95,115,80,95,80,90,460
Poliwag,Water,Tadpole Pokémon,0.6,12.4,1. Water Absorb2. DampSwift Swim (hidden ability),60,Medium Slow,40,50,40,40,40,90,260
Poliwhirl,Water,Tadpole Pokémon,1,20,1. Water Absorb2. DampSwift Swim (hidden ability),135,Medium Slow,65,65,65,50,50,90,320
Poliwrath,Water Fighting,Tadpole Pokémon,1.3,54,1. Water Absorb2. DampSwift Swim (hidden ability),230,Medium Slow,90,95,95,70,90,70,420
Abra,Psychic,Psi Pokémon,0.9,19.5,1. Synchronize2. Inner FocusMagic Guard (hidden ability),62,Medium Slow,25,20,15,105,55,90,285
Kadabra,Psychic,Psi Pokémon,1.3,56.5,1. Synchronize2. Inner FocusMagic Guard (hidden ability),140,Medium Slow,40,35,30,120,70,105,360
Alakazam,Psychic,Psi Pokémon,1.2,48,Trace,270,Medium Slow,55,50,65,175,105,150,545
Machop,Fighting,Superpower Pokémon,0.8,19.5,1. Guts2. No GuardSteadfast (hidden ability),61,Medium Slow,70,80,50,35,35,35,235
Machoke,Fighting,Superpower Pokémon,1.5,70.5,1. Guts2. No GuardSteadfast (hidden ability),142,Medium Slow,80,100,70,50,60,45,325
Machamp,Fighting,Superpower Pokémon,1.6,130,1. Guts2. No GuardSteadfast (hidden ability),227,Medium Slow,90,130,80,65,85,55,415
Bellsprout,Grass Poison,Flower Pokémon,0.7,4,1. ChlorophyllGluttony (hidden ability),60,Medium Slow,50,75,35,70,30,40,250
Weepinbell,Grass Poison,Flycatcher Pokémon,1,6.4,1. ChlorophyllGluttony (hidden ability),137,Medium Slow,65,90,50,85,45,55,325
Victreebel,Grass Poison,Flycatcher Pokémon,1.7,15.5,1. ChlorophyllGluttony (hidden ability),221,Medium Slow,80,105,65,100,70,70,410
Tentacool,Water Poison,Jellyfish Pokémon,0.9,45.5,1. Clear Body2. Liquid OozeRain Dish (hidden ability),67,Slow,40,40,35,50,100,70,295
Tentacruel,Water Poison,Jellyfish Pokémon,1.6,55,1. Clear Body2. Liquid OozeRain Dish (hidden ability),180,Slow,80,70,65,80,120,100,435
Geodude,Rock Electric,Rock Pokémon,0.4,20.3,Magnet Pull Sturdy Galvanize,60,Medium Slow,40,80,100,30,30,20,260
Graveler,Rock Electric,Rock Pokémon,1,110,Magnet Pull Sturdy Galvanize,137,Medium Slow,55,95,115,45,45,35,335
Golem,Rock Electric,Megaton Pokémon,1.7,316,Magnet Pull Sturdy Galvanize,223,Medium Slow,80,120,130,55,65,45,415
Ponyta,Psychic,Unique Horn Pokémon,0.8,24,Run Away Pastel Veil Anticipation,82,Medium Fast,50,85,55,65,65,90,360
Rapidash,Psychic Fairy,Unique Horn Pokémon,1.7,80,Run Away Pastel Veil Anticipation,175,Medium Fast,65,100,70,80,80,105,435
