Weight,Attack,Defense
heavy,120,130
heavy,105,85
heavy,155,109
heavy,110,65
heavy,125,230
heavy,164,150
heavy,120,60
heavy,140,230
heavy,90,45
heavy,120,100
heavy,120,80
heavy,145,150
heavy,150,90
heavy,180,160
heavy,180,100
heavy,109,105
heavy,112,118
heavy,140,130
heavy,130,80
heavy,55,145
heavy,100,120
heavy,100,100
heavy,90,106
heavy,160,110
heavy,120,100
heavy,120,120
heavy,135,130
heavy,130,80
heavy,124,80
heavy,129,90
heavy,120,100
heavy,150,120
heavy,170,100
heavy,121,119
heavy,100,100
heavy,127,184
heavy,100,121
heavy,160,60
heavy,125,100
heavy,29,131
heavy,139,139
heavy,101,103
heavy,101,53
heavy,131,211
heavy,143,143
heavy,80,120
heavy,125,135
heavy,130,69
heavy,150,115
heavy,120,140
heavy,115,250
heavy,145,130
heavy,70,120
heavy,75,100
heavy,85,145
heavy,113,65
heavy,131,131
heavy,140,108
heavy,134,110
heavy,110,125
heavy,139,71
heavy,135,115
heavy,83,91
heavy,115,121
heavy,73,91
