Weight,Attack,Defense
light,49,49
light,62,63
light,52,43
light,64,58
light,104,78
light,48,65
light,63,80
light,103,120
light,30,35
light,20,55
light,45,50
light,35,30
light,25,50
light,150,40
light,45,40
light,60,55
light,80,80
light,56,35
light,71,70
light,60,30
light,90,65
light,60,44
light,95,69
light,80,50
light,85,50
light,75,90
light,100,120
light,45,48
light,70,73
light,41,40
light,67,75
light,45,20
light,70,45
light,45,35
light,80,70
light,50,55
light,65,70
light,80,85
light,70,55
light,95,80
light,55,50
light,65,60
light,55,30
light,100,60
light,65,55
light,60,60
light,52,48
light,82,78
light,80,35
light,105,60
light,75,45
light,50,40
light,65,65
light,95,95
light,20,15
light,35,30
light,50,65
light,80,50
light,100,70
light,130,80
light,75,35
light,90,50
light,105,65
light,40,35
light,70,65
light,80,100
light,95,115
light,85,55
light,100,70
light,65,65
light,100,95
light,35,70
light,60,95
light,95,55
light,85,45
light,110,70
light,45,55
light,70,80
light,80,50
light,105,75
light,65,100
light,95,180
light,35,30
light,50,45
light,65,80
light,48,45
light,73,70
light,105,90
light,130,115
light,30,50
light,50,70
light,40,80
light,50,95
light,80,110
light,120,53
light,105,79
light,55,75
light,65,95
light,90,120
light,85,95
light,130,120
light,5,5
light,55,115
light,125,100
light,40,70
light,65,95
light,67,60
light,92,65
light,45,55
light,75,85
light,65,65
light,110,80
light,50,35
light,83,57
light,95,57
light,155,120
light,110,105
light,10,55
light,48,48
light,75,70
light,65,60
light,65,60
light,130,60
light,60,70
light,40,100
light,60,125
light,80,90
light,115,105
light,135,85
light,85,85
light,125,90
light,85,90
light,64,45
light,84,65
light,150,70
light,100,100
light,49,65
light,62,80
light,82,100
light,52,43
light,64,58
light,84,78
light,65,64
light,80,80
light,105,100
light,46,34
light,76,64
light,30,30
light,50,50
light,20,30
light,35,50
light,60,40
light,90,70
light,90,80
light,38,38
light,58,58
light,40,15
light,25,28
light,30,15
light,20,65
light,40,85
light,50,45
light,75,70
light,40,40
light,55,55
light,95,105
light,80,95
light,20,50
light,50,80
light,100,115
light,75,75
light,35,40
light,45,50
light,55,70
light,70,55
light,30,30
light,75,55
light,65,45
light,45,45
light,85,85
light,65,60
light,65,110
light,85,42
light,65,80
light,60,60
light,72,48
light,33,58
light,80,65
light,65,90
light,90,140
light,70,70
light,75,105
light,80,50
light,120,75
light,95,85
light,150,140
light,10,230
light,185,115
light,95,55
light,80,50
light,130,75
light,40,40
light,50,120
light,50,40
light,100,80
light,55,100
light,65,35
light,105,75
light,55,45
light,80,140
light,60,30
light,90,90
light,60,60
light,120,120
light,80,90
light,95,62
light,20,35
light,35,35
light,95,95
light,30,15
light,63,37
light,75,37
light,80,105
light,10,10
light,64,50
light,100,100
light,45,35
light,65,45
light,110,75
light,60,40
light,85,60
light,160,80
light,70,50
light,85,70
light,150,110
light,55,35
light,90,70
light,30,41
light,70,61
light,45,35
light,35,55
light,70,50
light,35,55
light,50,70
light,30,30
light,50,50
light,70,70
light,40,50
light,70,40
light,100,60
light,55,30
light,85,60
light,30,30
light,50,100
light,25,25
light,35,35
light,85,65
light,30,32
light,60,62
light,40,60
light,130,80
light,60,60
light,80,80
light,160,100
light,45,90
light,90,45
light,90,45
light,51,23
light,71,43
light,91,63
light,60,30
light,20,40
light,45,135
light,45,45
light,65,65
light,105,125
light,70,100
light,90,140
light,40,55
light,100,85
light,45,40
light,75,80
light,50,40
light,40,50
light,73,75
light,47,75
light,60,45
light,43,53
light,73,83
light,90,20
light,140,70
light,70,35
light,60,40
light,85,140
light,25,35
light,45,65
light,60,60
light,100,45
light,70,50
light,100,80
light,85,40
light,115,60
light,40,60
light,110,110
light,115,60
light,100,60
light,48,43
light,78,73
light,80,65
light,120,85
light,40,55
light,70,105
light,41,77
light,81,97
light,95,50
light,125,100
light,15,20
light,70,70
light,90,70
light,75,35
light,165,75
light,40,90
light,70,130
light,68,83
light,50,80
light,150,60
light,23,48
light,50,50
light,40,50
light,60,70
light,64,85
light,104,105
light,84,105
light,90,130
light,30,55
light,75,60
light,95,100
light,145,130
light,55,80
light,100,120
light,130,100
light,100,100
light,95,90
light,68,64
light,89,85
light,58,44
light,78,52
light,104,71
light,51,53
light,66,68
light,86,88
light,55,30
light,75,50
light,120,70
light,45,40
light,85,60
light,25,41
light,85,51
light,65,34
light,85,49
light,120,79
light,30,35
light,70,65
light,125,40
light,165,60
light,42,118
light,52,168
light,29,45
light,69,95
light,94,50
light,30,42
light,80,102
light,45,70
light,65,35
light,105,55
light,35,45
light,60,70
light,48,48
light,83,68
light,100,66
light,50,34
light,80,44
light,66,44
light,136,94
light,60,60
light,125,52
light,55,42
light,82,64
light,30,50
light,63,47
light,93,67
light,24,86
light,80,95
light,5,5
light,65,45
light,92,108
light,70,45
light,90,65
light,170,115
light,85,40
light,70,40
light,145,88
light,72,78
light,50,90
light,90,110
light,61,40
light,106,65
light,100,72
light,49,56
light,69,76
light,20,50
light,62,50
light,120,65
light,85,95
light,100,125
light,123,67
light,95,67
light,50,95
light,76,86
light,110,130
light,60,110
light,95,125
light,80,70
light,165,95
light,100,135
light,80,70
light,65,107
light,75,130
light,105,105
light,125,70
light,70,110
light,80,80
light,100,100
light,90,90
light,103,75
light,100,100
light,45,55
light,60,75
light,75,95
light,63,45
light,93,55
light,123,65
light,55,45
light,75,60
light,108,80
light,55,39
light,85,69
light,60,45
light,80,65
light,110,90
light,50,37
light,88,50
light,53,48
light,98,63
light,53,48
light,98,63
light,53,48
light,98,63
light,25,45
light,55,85
light,55,50
light,77,62
light,115,80
light,60,32
light,100,63
light,75,85
light,105,105
light,45,43
light,57,55
light,85,40
light,135,60
light,60,126
light,80,55
light,105,85
light,140,95
light,50,40
light,65,55
light,95,75
light,100,85
light,125,75
light,53,70
light,63,90
light,103,80
light,45,59
light,55,99
light,27,60
light,67,85
light,35,50
light,105,75
light,92,65
light,72,35
light,82,45
light,117,80
light,90,45
light,160,55
light,86,67
light,65,85
light,75,70
light,90,115
light,58,80
light,55,85
light,50,145
light,78,103
light,108,133
light,112,45
light,140,65
light,50,62
light,95,82
light,60,40
light,100,60
light,50,40
light,95,60
light,30,50
light,45,70
light,55,95
light,30,40
light,40,50
light,65,75
light,44,50
light,87,63
light,50,50
light,65,65
light,95,85
light,60,50
light,100,70
light,75,60
light,75,45
light,135,105
light,55,45
light,85,70
light,40,50
light,60,70
light,75,80
light,47,50
light,77,60
light,50,91
light,94,131
light,55,70
light,80,95
light,100,115
light,55,40
light,85,70
light,115,80
light,55,55
light,75,75
light,30,55
light,40,60
light,55,90
light,87,60
light,117,70
light,147,90
light,70,40
light,50,50
light,40,85
light,70,40
light,81,99
light,85,50
light,125,60
light,120,90
light,74,50
light,85,70
light,125,100
light,110,95
light,83,50
light,83,70
light,55,75
light,65,105
light,97,66
light,109,112
light,65,50
light,85,70
light,85,55
light,60,65
light,100,80
light,105,70
light,145,90
light,72,90
light,128,90
light,120,95
light,61,65
light,78,95
light,107,122
light,45,40
light,59,58
light,69,72
light,56,40
light,63,52
light,145,67
light,36,38
light,56,77
light,50,43
light,73,55
light,81,71
light,35,40
light,22,60
light,52,50
light,50,58
light,68,72
light,45,47
light,65,68
light,65,48
light,100,62
light,82,62
light,124,78
light,80,60
light,48,54
light,48,76
light,80,100
light,110,150
light,140,50
light,52,60
light,72,72
light,48,66
light,80,86
