Weight,Attack,Defense
med,100,123
med,115,80
med,45,160
med,85,80
med,134,95
med,40,70
med,95,95
med,85,75
med,115,85
med,75,115
med,84,70
med,90,130
med,130,90
med,85,125
med,55,65
med,95,85
med,60,79
med,80,90
med,75,100
med,100,200
med,50,100
med,75,150
med,89,116
med,132,105
med,70,115
med,100,89
med,105,125
med,105,90
med,90,129
med,90,72
med,77,72
med,131,95
med,131,95
med,110,120
med,132,77
med,75,110
med,78,135
med,60,85
med,131,100
med,137,107
med,167,97
med,100,90
med,90,100
med,90,100
med,100,50
med,100,130
med,100,115
med,75,60
med,90,70
med,112,120
med,145,92
med,120,80
med,85,100
med,120,80
med,72,100
