Weight,Attack,Defense
6.9,49,49
13,62,63
155.5,100,123
8.5,52,43
19,64,58
100.5,104,78
9,48,65
22.5,63,80
101.1,103,120
2.9,30,35
9.9,20,55
32,45,50
3.2,35,30
10,25,50
40.5,150,40
1.8,45,40
30,60,55
50.5,80,80
3.8,56,35
25.5,71,70
2,60,30
38,90,65
6.9,60,44
65,95,69
6,80,50
21,85,50
40,75,90
55,100,120
7.5,45,48
40,70,73
9.9,41,40
19.9,67,75
5.5,45,20
12,70,45
7.5,45,35
55,80,70
5.4,50,55
8.6,65,70
18.6,80,85
5.4,70,55
29.5,95,80
30,55,50
12.5,65,60
1,55,30
66.6,100,60
7.5,65,55
33,60,60
19.6,52,48
76.6,82,78
28,80,35
32,105,60
22.7,75,45
168,115,80
12.4,50,40
20,65,65
54,95,95
19.5,20,15
56.5,35,30
48,50,65
19.5,80,50
70.5,100,70
130,130,80
4,75,35
6.4,90,50
15.5,105,65
45.5,40,35
55,70,65
20.3,80,100
110,95,115
316,120,130
24,85,55
80,100,70
36,65,65
70.5,100,95
6,35,70
60,60,95
42,95,55
39.2,85,45
85.2,110,70
90,45,55
120,70,80
42,80,50
52,105,75
4,65,100
132.5,95,180
0.1,35,30
0.1,50,45
40.5,65,80
210,45,160
32.4,48,45
75.6,73,70
6.5,105,90
60,130,115
13,30,50
71,50,70
2.5,40,80
415.6,105,85
6.5,50,95
34,80,110
49.8,120,53
50.2,105,79
65.5,55,75
1,65,95
16,90,120
115,85,95
120,130,120
34.6,5,5
35,55,115
100,125,100
8,40,70
25,65,95
15,67,60
39,92,65
34.5,45,55
80,75,85
56.8,65,65
56,110,80
40.6,50,35
30,83,57
44.5,95,57
59,155,120
110,110,105
10,10,55
305,155,109
220,85,80
4,48,48
6.5,75,70
29,65,60
24.5,65,60
25,130,60
36.5,60,70
7.5,40,100
35,60,125
11.5,80,90
40.5,115,105
79,135,85
460,110,65
50.9,85,85
58.2,125,90
66,85,90
3.3,64,45
16.5,84,65
210,134,95
33,150,70
4,100,100
6.4,49,65
15.8,62,80
100.5,82,100
7.9,52,43
19,64,58
69.8,84,78
9.5,65,64
25,80,80
88.8,105,100
6,46,34
32.5,76,64
21.2,30,30
40.8,50,50
10.8,20,30
35.6,35,50
8.5,60,40
33.5,90,70
75,90,80
12,38,38
22.5,58,58
2,40,15
3,25,28
1,30,15
1.5,20,65
3.2,40,85
2,50,45
15,75,70
7.8,40,40
13.3,55,55
61.5,95,105
5.8,80,95
8.5,20,50
28.5,50,80
38,100,115
33.9,75,75
0.5,35,40
1,45,50
3,55,70
11.5,70,55
1.8,30,30
8.5,75,55
38,65,45
11,45,45
75,85,85
26.5,65,60
27,65,110
2.1,85,42
79.5,65,80
1,60,60
5,72,48
28.5,33,58
41.5,80,65
7.2,65,90
125.8,90,140
14,70,70
64.8,75,105
740,125,230
7.8,80,50
48.7,120,75
3.9,95,85
125,150,140
20.5,10,230
62.5,185,115
27,95,55
8.8,80,50
125.8,130,75
35,40,40
55,50,120
6.5,50,40
55.8,100,80
0.5,55,100
12,65,35
28.5,105,75
16,55,45
220,40,70
50.5,80,140
10.8,60,30
49.5,90,90
152,95,95
33.5,60,60
120,120,120
32.5,80,90
71.2,95,62
58,20,35
21,35,35
48,95,95
6,30,15
23.5,63,37
21.4,75,37
75.5,80,105
46.8,10,10
178,85,75
198,115,85
187,75,115
72,64,50
152,84,70
255,164,150
216,90,130
199,130,90
5,100,100
5,45,35
21.6,65,45
55.2,110,75
2.5,60,40
19.5,85,60
52,160,80
7.6,70,50
28,85,70
102,150,110
13.6,55,35
37,90,70
17.5,30,41
32.5,70,61
3.6,45,35
10,35,55
28.4,70,50
11.5,35,55
31.6,50,70
2.6,30,30
32.5,50,50
55,70,70
4,40,50
28,70,40
59.6,100,60
2.3,55,30
19.8,85,60
9.5,30,30
28,50,100
6.6,25,25
20.2,35,35
48.4,85,65
1.7,30,32
3.6,60,62
4.5,40,60
39.2,130,80
24,60,60
46.5,80,80
130.5,160,100
5.5,45,90
12,90,45
1.2,90,45
16.3,51,23
40.5,71,43
84,91,63
86.4,60,30
253.8,120,60
2,20,40
97,45,135
11,45,45
32.6,65,65
161,85,125
23.5,105,125
60,70,100
120,90,140
395,140,230
11.2,40,55
31.5,100,85
15.2,45,40
44,75,80
4.2,50,40
4.2,40,50
17.7,73,75
17.7,47,75
2,60,45
10.3,43,53
80,73,83
20.8,90,20
130.3,140,70
130,70,35
398,90,45
24,60,40
320.5,120,100
80.4,85,140
30.6,25,35
71.5,45,65
5,60,60
15,100,45
15.3,70,50
82,100,80
51.3,85,40
77.4,115,60
1.2,40,60
